questions,choices
1- حسن السؤال نصف ....... ومداراة الناس نصف .........,أ- الإنصاف: الجهل		ب- الجواب: المعرفة		ج- العلم: العقل			د- المعرفة: الانتصار
2- المرء بين ............. و ........، لا يصلحه غير استغفار من هذا ، وشكر على هذا.,أ. ذنب – نعمة		ب- نعمة: ذنب			ج- رجاء : بلاء			د- رخاء : صبر
3- من استبد برأيه .... ومن استشار .....  شاركهم في عقولهم .,ا نجا: غيره			ب- وصل: الفضلاء		ج- هلك : العلماء		د- ضل: الأعماق
4- إن ....... إلى الحياة ما هي ....... إلا لأفكارك فيها ، فكلما كانت نظرتك للحياة إيجابية ، ازدادت حياتك جمالاً وسروراً.,أ) تعابيرك - صوت 		ب نظرتك – انعكاس		ج. سمعك – صدى		د. عينك ضوء
5- يتلو الحاكم كلمته.......... فتحرك ...........,أ- القوية : الوزير		ب- المارقة : الجيوش		ج- العصماء : النفوس		د- المؤثرة : الكائنات
6- لا تصاحب...... فإنه يريد أن ينصح لك فيؤذيك، ولا  ....... فما أوثق الصداقة حين تثق به يغدرك ويرحل.,أ- الكافر : البخيل		ب الأحمق : الملول		ج- الغبي : الكاذب		د- المنافق – المسافر
1- إن ..... ذكر الله يعظم ....... الله في قلوبنا.,أ- شدة : قرب		ب- كثرة : قدر			ج- دوام : مداومة		د- قلة : خوف
2- الذكاء ........... من سمات القادة، فهو يساعدهم على التعامل مع مختلف .......... وزيادة العلاقات.,أ. الإداري: الأعداء		ب- الدولي – الدول		ج- الفني – الأشكال	      د- العاطفي - الشخصيات
3- تحاول الدولة أن تمنع ......... التجاري، وأن تقبض على..................... .,أ- التعاون : الفاعلين	ب- السوق : الجناة		ج الغش – فاعله		د- السرقة : السارقين
4- كن في الحياة كـ ....... ولا تكن ....... فأن الأول يبحث عن الأهداف ، والثاني يبحث عن الأخطاء.,أ- اللاعب: الحكم		ب المسافر العائد		ج- القوي: الضعيف		د- الناجح المخفق
5- الحياة مليئة بـ ....... فلا تتعثر بها بل اجمعها ، وابن بها سلماً ....... به نحو النجاح.,أ- المشاكل : تمضي		ب. الأهداف – ترقى		ج- المآسي : تهوي		د- الحجارة : تصعد
6- المكان الذي لا ....... فيه لا يمكنك ........... فيه .,أ- تبدع : تأكل		ب ترتاح : تبدع			ج- تذهب : تبقى		د- تعمل : تعلم
1- الكسل يمنحك راحة ........... لكنه يورثك همًا...............,أ- دائمة: كبيرًا		ب- عارضة : متصلًا		ج - مؤقتة : صغيرًا		د- مستدامة : طويلا
2- قولهم قتل............ الله ، خير من قولهم ........ أخزاه الله .,أ- غفر: هرب		ب - وفقه: عاد			ج- سماحة: كر			د- رحمه: فر
3) لا تخش آراء الآخرين ، فهي........... وليست...................,أ. آراؤهم: وجهاتهم		ب. تخيلات: خططك		ج- من مبادئهم: أفكارك		د- أفكارهم: واقعك
4- رب كلمة ..... بنعم و رب كلمة ....... نعماً,أ- منحت : أخذت		ب- قدمت : أحضرت		ج- فازت : أنت			د- أتت : سلبت
5- المعلم الكفء هو أساس نجاح العملية ....... وبه تنصلح ....... ويستقيم حالها,أ- التربوية: الأجيال		ب التعليمية – الطرق		ج- الاقتصادية – الأمم		د- التوجيهية: الحياة
6- جودة تفكيرك تحدد ..... حياتك,أ-  نمط			ب معيشة 			ج جودة				د- بيئة
